text,intent,source,group,n_tokens
"Urgent: my request for a provisional transcript is still pending, who do I follow up with?",transcripts,template,"transcripts::My request for a {doc} is still pending, who do I follow up with?",16
I'm in sem 5 of CSE. pls guide me to apply for the sports scholarship.,scholarships,augmented,scholarships::Please guide me to apply for the {sch}.,15
Qucik question: r calculators allowed in the end sem exam?,examinations,augmented,examinations::Are calculators allowed in the {exam}?,10
"Hello, my mathematics professor did not update my attendance. My roll number is J088.",attendance,template,attendance::My {subject} professor did not update my attendance.,14
Can I get an unofficial degree transcript instantly? Thanks.,transcripts,template,transcripts::Can I get an unofficial {doc} instantly?,9
What is the last date to fill the form for the makeup exam?,examinations,template,examinations::What is the last date to fill the form for the {exam}?,13
What is the late registration fee for the fall semester?,academic_registration,template,academic_registration::What is the late registration fee for {term}?,10
I am a faculty member in mechanical. Do I have to pay the development fee again after taking a break?,fees,template,fees::Do I have to pay the {fee} again after taking a break?,20
What documents are required for a study certificate? It is urgent.,certificates,template,certificates::What documents are required for a {cert}?,11
"Hi, I am from civil. What is the seating arrangement for the improvement exam? I am in semester 7.",examinations,template,examinations::What is the seating arrangement for the {exam}?,19
Is payment of the late fee by cash at the accountts office accepted at the accounts office,fees,augmented,fees::Is payment of the {fee} by {mode} accepted at the accounts office?,17
urgent: i want to change my project credits for the full sem. my roll number is j012.,academic_registration,augmented,academic_registration::I want to change my {course} for {term}.,17
I was absent because of a hackathon. Can my attendance be adjusted?,attendance,template,attendance::I was absent because of {reason}. Can my attendance be adjusted?,12
Tell me the procedure for obtaining a course completion certificate.,certificates,template,certificates::Tell me the procedure for obtaining a {cert}.,10
"As a final year student, how is attendance calculated for the semester?",attendance,template,attendance::How is attendance calculated for the semester?,12
Who is the coordinator for the need-based scholarship? Thank you.,scholarships,template,scholarships::Who is the coordinator for the {sch}?,10
Tell me about the girl child scholarship available for students.,scholarships,template,scholarships::Tell me about the {sch} available for students.,10
What is the eligibility for the need-based scholarship?,scholarships,template,scholarships::What is the eligibility for the {sch}?,8
"Hi, I am from CSE. How do I report a mistake in my attendance record for data structures?",attendance,template,attendance::How do I report a mistake in my attendance record for {subject}?,18
how much is 1 share of aapl,out_of_scope,clinc150,clinc::how much is 1 share of aapl,7
What documents are needed to get attendance condoned for a family emergency? Please help.,attendance,template,attendance::What documents are needed to get attendance condoned for {reason}?,14
Is a room in the girls hostel available this semester?,hostel,template,hostel::Is a {room} available this semester?,10
Do you provide attested copies of the medium of instruction certificate? Any help is appreciated.,certificates,template,certificates::Do you provide attested copies of the {cert}?,15
I study MBA. Can I pay the admission fee by credit card? I am in first year.,fees,template,fees::Can I pay the {fee} by {mode}?,17
"As a first yeaar student, what is the process to apply for a NOC?",certificates,augmented,certificates::What is the process to apply for a {cert}?,14
When does cvurse reg for sem 5 open? I am in semester 2.,academic_registration,augmented,academic_registration::When does course registration for {term} open?,13
I lost my medium of instruction certificate. Can I get a duplicate?,certificates,template,certificates::I lost my {cert}. Can I get a duplicate?,12
Roll number J054 here. How long will it take to receive my semester-wise transcript after applying?,transcripts,template,transcripts::How long will it take to receive my {doc} after applying?,16
"Excuse me, I lost my course completion certificate. Can I get a duplicate?",certificates,template,certificates::I lost my {cert}. Can I get a duplicate?,13
Where can I see the list of courses offered in semester 5? My roll number is J059.,academic_registration,template,academic_registration::Where can I see the list of courses offered in {term}?,17
Where do I request a degree transcript?,transcripts,template,transcripts::Where do I request a {doc}?,7
Do I need to upload my Aadhaar card for the freeship?,scholarships,template,scholarships::Do I need to upload my {sdoc} for the {sch}?,11
"Sir, my attnd is 73 percent. Will I be detained?",attendance,augmented,attendance::My attendance is {pct}. Will I be detained?,10
"hello, wat is the maximum number of credits i can register for in the spring sem",academic_registration,augmented,academic_registration::What is the maximum number of credits I can register for in {term}?,16
What minimum CGPA do I need to keep my research fellowship?,scholarships,template,scholarships::What minimum CGPA do I need to keep my {sch}?,11
"Hey, what is the fee for a consolidated marksheet? Kindly guide me.",transcripts,template,transcripts::What is the fee for a {doc}?,12
"As a second year student, where can I download my hall ticket for the improvement exam? Thanks.",examinations,template,examinations::Where can I download my hall ticket for the {exam}?,17
Solve this integral for me.,out_of_scope,hard_negative,hn::Solve this integral for me.,5
Who is the coordinator for the need-based scholarship?,scholarships,template,scholarships::Who is the coordinator for the {sch}?,8
Who signs the course completion certificate?,certificates,template,certificates::Who signs the {cert}?,6
I was absent because of a conference. Can my attendance be adjusted?,attendance,template,attendance::I was absent because of {reason}. Can my attendance be adjusted?,12
urgent: how do i re-register after a sem break,academic_registration,augmented,academic_registration::How do I re-register after a semester break?,9
When will the computer networks marks be published?,examinations,template,examinations::When will the {subject} marks be published?,8
"Sir, who signs the NOC?",certificates,template,certificates::Who signs the {cert}?,5
How long does it take to get a new RFID access card?,id_cards,template,id_cards::How long does it take to get a new {card}?,12
Please guide me on getting a course completion certificate.,certificates,template,certificates::Please guide me on getting a {cert}.,9
"Excuse me, how do I re-register after a semester break?",academic_registration,template,academic_registration::How do I re-register after a semester break?,10
Can you review my resume?,out_of_scope,hard_negative,hn::Can you review my resume?,5
how do i get a character cert,certificates,augmented,certificates::How do I get a {cert}?,7
Can I pay the admission fee by net banking? Thank you.,fees,template,fees::Can I pay the {fee} by {mode}?,11
How do I register for next semester's courses?,academic_registration,seed,seed::0::academic_registration,8
"Hello, how do I request a study certificate for an internship?",certificates,template,certificates::How do I request a {cert} for {purpose}?,11
Can duty leave be counted as present?,attendance,seed,seed::12::attendance,7
"Excuse me, is the income certificate mandatory for the post-matric scholarship?",scholarships,template,scholarships::Is the {sdoc} mandatory for the {sch}?,11
My DBMS professor did not update my attendance. Kindly guide me.,attendance,template,attendance::My {subject} professor did not update my attendance.,11
Urgent: how do I apply for attendance condonation due to a sports event?,attendance,template,attendance::How do I apply for attendance condonation due to {reason}?,13
my hall ticket has the wrong subject code for mathematics. thank u.,examinations,augmented,examinations::My hall ticket has the wrong subject code for {subject}.,12
my reg for semmester 6 is stuck at pending approval from the faculty advisor,academic_registration,augmented,academic_registration::My registration for {term} is stuck at pending approval from the faculty advisor.,14
where can i check the status of my fee waiver application? i am in sem 3,scholarships,augmented,scholarships::Where can I check the status of my {sch} application?,16
What is the fee for the re-admission after a break?,fees,seed,seed::19::fees,10
"Excuse me, wat is the maximum number of credits I can register for in semester 6",academic_registration,augmented,academic_registration::What is the maximum number of credits I can register for in {term}?,16
i was absent because of a family emergency. can my attnd be adjusted? it is urgent,attendance,augmented,attendance::I was absent because of {reason}. Can my attendance be adjusted?,16
What is the late registration fee for semester 6?,academic_registration,template,academic_registration::What is the late registration fee for {term}?,9
Is payment of the admission fee by net banking accepted at the accounts office?,fees,template,fees::Is payment of the {fee} by {mode} accepted at the accounts office?,14
Quick question: where is the office that issues the ID card?,id_cards,template,id_cards::Where is the office that issues the {card}?,11
"Hello, can I apply online for a NOC or do I have to visit the office?",certificates,template,certificates::Can I apply online for a {cert} or do I have to visit the office?,16
"Sir, I need to extend my hostel stay during the semester break.",hostel,template,hostel::I need to extend my hostel stay during {vac}.,12
I am a first year IT student. How can I get a hostel no dues certificate before vacating?,hostel,template,hostel::How can I get a hostel no dues certificate before vacating?,18
"There is a clash between two of my exam papers, what should I do?",examinations,seed,seed::8::examinations,14
"As a second year student, is the bank passbook mandatory for the freeship?",scholarships,template,scholarships::Is the {sdoc} mandatory for the {sch}?,13
what do you call someone who was born in segovia,out_of_scope,clinc150,clinc::what do you call someone who was born in segovia,10
Can I pay the admission fee by net banking?,fees,template,fees::Can I pay the {fee} by {mode}?,9
"My merit scholarship application was rejected, how do I appeal? Thank you.",scholarships,template,"scholarships::My {sch} application was rejected, how do I appeal?",12
How do I register for the lab course in next semester? My roll number is A055.,academic_registration,template,academic_registration::How do I register for the {course} in {term}?,16
What are the prerequisites for the project credits?,academic_registration,template,academic_registration::What are the prerequisites for the {course}?,8
Which form do I fill for a new library card? Any help is appreciated.,id_cards,template,id_cards::Which form do I fill for a new {card}?,14
What documents are needed for a replacement library card? My roll number is J055.,id_cards,template,id_cards::What documents are needed for a replacement {card}?,14
can the university send my duplicate markhseet directly to a graduate school in the us? it is urgent.,transcripts,augmented,transcripts::Can the university send my {doc} directly to {dest}?,18
I am a final year MBA student. How do I apply for the girl child scholarship?,scholarships,template,scholarships::How do I apply for the {sch}?,16
How do I request a character certificate for a hostel application?,certificates,template,certificates::How do I request a {cert} for {purpose}?,11
"Excuse me, my fee waiver application was rejected, how do I appeal? Thanks.",scholarships,template,"scholarships::My {sch} application was rejected, how do I appeal?",13
"Madam, how do I renew my post-matric scholarship for next year?",scholarships,template,scholarships::How do I renew my {sch} for next year?,11
What is the last date to apply for a character certificate?,certificates,template,certificates::What is the last date to apply for a {cert}?,11
Can I track the status of my consolidated marksheet request?,transcripts,template,transcripts::Can I track the status of my {doc} request?,10
"Hey, how do I pay the hostel security deposit? It is urgent.",hostel,template,hostel::How do I pay the hostel security deposit?,12
Roll number J059 here. What is the last date to apply for a provisional degree certificate?,certificates,template,certificates::What is the last date to apply for a {cert}?,16
Can I track the status of my official transcript request? Thank you.,transcripts,template,transcripts::Can I track the status of my {doc} request?,12
Where can I download the receipt for the re-registration fee? Thank u.,fees,augmented,fees::Where can I download the receipt for the {fee}?,12
What is the fee for a mark statement? Any help is appreciated.,transcripts,template,transcripts::What is the fee for a {doc}?,12
What is the passing criterion for the practical exam?,examinations,template,examinations::What is the passing criterion for the {exam}?,9
How many days does it take to issue a degree certificate?,certificates,template,certificates::How many days does it take to issue a {cert}?,11
How do I get a passing certificate?,certificates,template,certificates::How do I get a {cert}?,7
Is payment of the exam fee by cash at the accounts office accepted at the accounts office? Please help.,fees,template,fees::Is payment of the {fee} by {mode} accepted at the accounts office?,19
Who signs the passing certificate?,certificates,template,certificates::Who signs the {cert}?,5
Urgent: can I pay the re-registration fee by UPI?,fees,template,fees::Can I pay the {fee} by {mode}?,9
I could not registeer on tmie because of a portal error.,academic_registration,augmented,seed::5::academic_registration,11
urgent: how can faculty upload attnd for a batch,attendance,augmented,attendance::How can faculty upload attendance for a batch?,9
How do I request a passing certificate for a visa application?,certificates,template,certificates::How do I request a {cert} for {purpose}?,11
What documents are needed for a replacement student ID card?,id_cards,template,id_cards::What documents are needed for a replacement {card}?,10
Roll number K057 here. Do I need to upload my bank passbook for the fee waiver?,scholarships,template,scholarships::Do I need to upload my {sdoc} for the {sch}?,16
"Hello, how do I pay the hostel security deposit?",hostel,template,hostel::How do I pay the hostel security deposit?,9
What is the penalty for paying the semester fee late?,fees,template,fees::What is the penalty for paying the {fee} late?,10
"Hi, I am from mechanical. What documents are required for the need-based scholarship?",scholarships,template,scholarships::What documents are required for the {sch}?,13
Can I bring a guest to the hostel? It is urgent.,hostel,template,hostel::Can I bring a guest to the hostel?,11
"Hi, I was absent because of a college fest. Can my attnd be adjusted? Thank you",attendance,augmented,attendance::I was absent because of {reason}. Can my attendance be adjusted?,16
Can I pay the late fee in installments?,fees,template,fees::Can I pay the {fee} in installments?,8
Can the university send my duplicate marksheet directly to a graduate school in the US? It is urgent.,transcripts,template,transcripts::Can the university send my {doc} directly to {dest}?,18
"Madam, how do I pay the hostel security deposit? Any help is appreciated.",hostel,template,hostel::How do I pay the hostel security deposit?,13
Can I pay the development fee by UPI?,fees,template,fees::Can I pay the {fee} by {mode}?,8
I want a refund of my admission fee.,fees,template,fees::I want a refund of my {fee}.,8
"I need a sealed transcript for my master's application, what is the procedure?",transcripts,template,"transcripts::I need a {doc} for {dest}, what is the procedure?",13
How do I apply for the minority scholarship? Kindly guide me.,scholarships,template,scholarships::How do I apply for the {sch}?,11
I study civil. Will duty leave for a hackathon be counted as present?,attendance,template,attendance::Will duty leave for {reason} be counted as present?,13
"Roll number A101 here. There is an error in the details on my RFID access card, how do I correct it?",id_cards,template,"id_cards::There is an error in the details on my {card}, how do I correct it?",21
i need a fee structure doocument for my education loan. thx,fees,augmented,fees::I need a fee structure document for my education loan.,11
"Hi, I am from electrical. Tell me the procedure for obtaining a domicile verification letter.",certificates,template,certificates::Tell me the procedure for obtaining a {cert}.,15
Explain quantum computing to me.,out_of_scope,seed,seed::6::out_of_scope,5
Where can I see the list of courses offered in sem 6? Please help,academic_registration,augmented,academic_registration::Where can I see the list of courses offered in {term}?,14
How do I renew my sports scholarship for next year? Thanks.,scholarships,template,scholarships::How do I renew my {sch} for next year?,11
Who signs the bonafide certificate? Please help.,certificates,template,certificates::Who signs the {cert}?,7
What is the seating arrangement for the practical exam? It is urgent.,examinations,template,examinations::What is the seating arrangement for the {exam}?,12
Quick question: where can I collect my NOC? Please help.,certificates,template,certificates::Where can I collect my {cert}?,10
"Hi, I am from biotech. Is registration mandatory for the fall semester even if I have backlogs?",academic_registration,template,academic_registration::Is registration mandatory for {term} even if I have backlogs?,17
Need a conduct certificate for a scholarship form.,certificates,seed,seed::14::certificates,8
are any justice league movies coming out,out_of_scope,clinc150,clinc::are any justice league movies coming out,7
Can I bring a guest to the hostel?,hostel,seed,seed::7::hostel,8
Where can I check my subject-wise attendance?,attendance,seed,seed::5::attendance,7
Is it possible to update the photo on my library card?,id_cards,template,id_cards::Is it possible to update the photo on my {card}?,11
Is the bank passbook mandatory for the need-based scholarship?,scholarships,template,scholarships::Is the {sdoc} mandatory for the {sch}?,9
What documents are needed for a replacement identity card?,id_cards,template,id_cards::What documents are needed for a replacement {card}?,9
I am a faculty member in chemical. When will my course completion certificate be ready? Thanks.,certificates,template,certificates::When will my {cert} be ready?,16
How do I request a course completion certificate for a hostel application?,certificates,template,certificates::How do I request a {cert} for {purpose}?,12
Where can I see the list of courses offered in semester 6? Thanks.,academic_registration,template,academic_registration::Where can I see the list of courses offered in {term}?,13
urgent: how do i afply for the research fellowship,scholarships,augmented,scholarships::How do I apply for the {sch}?,9
Where do I submit a medical certificate for my absence? Kindly guide me.,attendance,template,attendance::Where do I submit a medical certificate for my absence?,13
What is the fee for the internal assessment?,examinations,template,examinations::What is the fee for the {exam}?,8
I need a bonafide certificate for a hostel application.,certificates,template,certificates::I need a {cert} for {purpose}.,9
Is attendance mandatory for machine learning lab sessions? My roll number is J059.,attendance,template,attendance::Is attendance mandatory for {subject} lab sessions?,13
How many students get the merit scholarship each year?,scholarships,template,scholarships::How many students get the {sch} each year?,9
How do I re-register after a semester break? Thank you.,academic_registration,template,academic_registration::How do I re-register after a semester break?,10
I'm in semester 5 of chemical. Is payment of the development fee by net banking accepted at the accounts office?,fees,template,fees::Is payment of the {fee} by {mode} accepted at the accounts office?,20
"As a second year student, apply for a new student ID card please. Thanks.",id_cards,template,id_cards::Apply for a new {card} please.,14
"I need a mark statement for my master's application, what is the procedure? Please help.",transcripts,template,"transcripts::I need a {doc} for {dest}, what is the procedure?",15
Roll number A056 here. The receipt for my latte fee shows the wrong amount,fees,augmented,fees::The receipt for my {fee} shows the wrong amount.,14
what is the minimum attnd required to appear for exams? i am in sem 1.,attendance,augmented,attendance::What is the minimum attendance required to appear for exams?,15
Please guide me on getting a medium of instruction certificate.,certificates,template,certificates::Please guide me on getting a {cert}.,10
What is the last date to apply for a study certificate?,certificates,template,certificates::What is the last date to apply for a {cert}?,11
What is the last date to apply for a degree certificate? Thanks.,certificates,template,certificates::What is the last date to apply for a {cert}?,12
Can the university send my official transcript directly to my master's application?,transcripts,template,transcripts::Can the university send my {doc} directly to {dest}?,12
I lost my NOC. Can I get a duplicate?,certificates,template,certificates::I lost my {cert}. Can I get a duplicate?,9
How many days does it take to issue a course completion certificate?,certificates,template,certificates::How many days does it take to issue a {cert}?,12
What documents are required for a degree certificate?,certificates,template,certificates::What documents are required for a {cert}?,8
What is the process to apply for a sealed transcript? Kindly guide me.,transcripts,template,transcripts::What is the process to apply for a {doc}?,13
How do I get a change of exam centre for the practical exam?,examinations,template,examinations::How do I get a change of exam centre for the {exam}?,13
"Hey, is the caste certificate mandatory for the fee waiver?",scholarships,template,scholarships::Is the {sdoc} mandatory for the {sch}?,10
How can I pay the library fee? Kindly guide me.,fees,template,fees::How can I pay the {fee}?,10
"I'm in semester 5 of mechanical. My request for a provisional transcript is still pending, who do I follow up with?",transcripts,template,"transcripts::My request for a {doc} is still pending, who do I follow up with?",21
"My girl child scholarship application was rejected, how do I appeal?",scholarships,template,"scholarships::My {sch} application was rejected, how do I appeal?",11
Please tell me the procedure for the supplementary exam in mathematics.,examinations,template,examinations::Please tell me the procedure for the {exam} in {subject}.,11
Is registration mandatory for semester 6 even if I have backlogs? It is urgent.,academic_registration,template,academic_registration::Is registration mandatory for {term} even if I have backlogs?,14
Is a consolidated marksheet enough for the visa office?,transcripts,template,transcripts::Is a {doc} enough for {dest}?,9
"Need a transfer certificate, whom should I contact?",certificates,template,"certificates::Need a {cert}, whom should I contact?",8
I am a second year chemical student. I need to renew my library card.,id_cards,template,id_cards::I need to renew my {card}.,14
I study MBA. What is the late registration fee for the spring semester?,academic_registration,template,academic_registration::What is the late registration fee for {term}?,13
Can I track the status of my provisional transcript request?,transcripts,template,transcripts::Can I track the status of my {doc} request?,10
Where can I collect my degree certificate? Thank you.,certificates,template,certificates::Where can I collect my {cert}?,9
I need to renew my RFID access card.,id_cards,template,id_cards::I need to renew my {card}.,8
Roll number A056 here. I missed the makeup exam in mathematics because of illness. What should I do?,examinations,template,examinations::I missed the {exam} in {subject} because of illness. What should I do?,18
Who signs the degree certificate?,certificates,template,certificates::Who signs the {cert}?,5
"Hi, can the university send my provisional transcript directly to a university in the UK?",transcripts,template,transcripts::Can the university send my {doc} directly to {dest}?,15
"Hey, is there a waiver or concession on the re-registration fee?",fees,template,fees::Is there a waiver or concession on the {fee}?,11
What minimum CGPA do I need to keep my sports scholarship? Please help.,scholarships,template,scholarships::What minimum CGPA do I need to keep my {sch}?,13
What is the minimum attendance required to appear for exams? I am in semester 1.,attendance,template,attendance::What is the minimum attendance required to appear for exams?,15
Please guide me to apply for the fee waiver.,scholarships,template,scholarships::Please guide me to apply for the {sch}.,9
I am a faculty member in civil. How can I pay the late fee?,fees,template,fees::How can I pay the {fee}?,14
How do I apply for attendance condonation due to a conference?,attendance,template,attendance::How do I apply for attendance condonation due to {reason}?,11
Is an official transcript enough for a graduate school in the US? Any help is appreciated.,transcripts,template,transcripts::Is a {doc} enough for {dest}?,16
Is the end semester exam open book? Thank you.,examinations,template,examinations::Is the {exam} open book?,9
Can I track the status of my semester-wise transcript request? Any help is appreciated.,transcripts,template,transcripts::Can I track the status of my {doc} request?,14
"Hi, I am from IT. What is the fee for a semester-wise transcript? My roll number is J143.",transcripts,template,transcripts::What is the fee for a {doc}?,18
"My computer networks exam clashes with another paper, what should I do? I am in semester 8.",examinations,template,"examinations::My {subject} exam clashes with another paper, what should I do?",17
I am a second year electrical student. Who signs the transfer cert? pls help.,certificates,augmented,certificates::Who signs the {cert}?,14
Quick question: what is the eligibility for the SC/ST scholarship?,scholarships,template,scholarships::What is the eligibility for the {sch}?,10
"Excuse me, what is the eligibility for the freeship?",scholarships,template,scholarships::What is the eligibility for the {sch}?,9
Is there a fee waiver for students with financial difficulty?,fees,seed,seed::9::fees,10
What is the process to enroll in the project credits?,academic_registration,template,academic_registration::What is the process to enroll in the {course}?,10
how do i apply for a double occupancy room? kindy guide me.,hostel,augmented,hostel::How do I apply for a {room}?,12
Is an official transcript enough for IELTS?,transcripts,template,transcripts::Is a {doc} enough for {dest}?,7
I am a second year electrical student. How do I renew my freeship for next year? My roll number is J056.,scholarships,template,scholarships::How do I renew my {sch} for next year?,21
When will the timetable for the makeup exam be released?,examinations,template,examinations::When will the timetable for the {exam} be released?,10
My attendance is below 75 percent. Will I be detained?,attendance,template,attendance::My attendance is {pct}. Will I be detained?,10
when do classes start,out_of_scope,clinc150,clinc::when do classes start,4
Roll number K059 here. How can I check my pending dues for the exam fee?,fees,template,fees::How can I check my pending dues for the {fee}?,15
Please tell me the procedure for the viva in physics.,examinations,template,examinations::Please tell me the procedure for the {exam} in {subject}.,10
Do you provide attested copies of the degree cert? I am in sem 5.,certificates,augmented,certificates::Do you provide attested copies of the {cert}?,14
"Sir, when will the allotment for a double occupancy room be announced?",hostel,template,hostel::When will the allotment for a {room} be announced?,12
How long does it take to get a new identity card?,id_cards,template,id_cards::How long does it take to get a new {card}?,11
What is the fee for a consolidated marksheet?,transcripts,template,transcripts::What is the fee for a {doc}?,8
When will the allotment for a shared room be announced?,hostel,template,hostel::When will the allotment for a {room} be announced?,10
"Excuse me, I need my sealed transcript sent to a graduate school in the US.",transcripts,template,transcripts::I need my {doc} sent to {dest}.,15
Urgent: what documents are required for hostel admission?,hostel,template,hostel::What documents are required for hostel admission?,8
What is the process to apply for a NOC?,certificates,template,certificates::What is the process to apply for a {cert}?,9
Is registration mandatory for the fall semester even if I have backlogs? Thanks.,academic_registration,template,academic_registration::Is registration mandatory for {term} even if I have backlogs?,13
How do I renew my SC/ST scholarship for next year? Please help.,scholarships,template,scholarships::How do I renew my {sch} for next year?,12
The result shows me absent for mathematics even though I appeared.,examinations,template,examinations::The result shows me absent for {subject} even though I appeared.,11
"Madam, where can I download the receipt for the semester fee?",fees,template,fees::Where can I download the receipt for the {fee}?,11
how many planets have we discovered,out_of_scope,clinc150,clinc::how many planets have we discovered,6
I have not received my identity card yet even after two months.,id_cards,template,id_cards::I have not received my {card} yet even after {duration}.,12
What is the eligibility for the girl child scholarship? Thank you.,scholarships,template,scholarships::What is the eligibility for the {sch}?,11
When will the end sem exam timetable be released,examinations,augmented,seed::0::examinations,9
What is the fee for a duplicate marksheet? I am in sem 7.,transcripts,augmented,transcripts::What is the fee for a {doc}?,13
What minimum CGPA do I need to keep my post-matric scholarship? I am in first year.,scholarships,template,scholarships::What minimum CGPA do I need to keep my {sch}?,16
"Madam, what documents are needed for a replacement RFID access card?",id_cards,template,id_cards::What documents are needed for a replacement {card}?,11
What is the process to apply for a mark statement? Thank you.,transcripts,template,transcripts::What is the process to apply for a {doc}?,12
Can I get an unofficial degree transcript instantly?,transcripts,template,transcripts::Can I get an unofficial {doc} instantly?,8
"I'm in semester 2 of civil. My request for a degree transcript is still pending, who do I follow up with?",transcripts,template,"transcripts::My request for a {doc} is still pending, who do I follow up with?",21
Roll number J056 here. My computer networks professor did not update my attendance.,attendance,template,attendance::My {subject} professor did not update my attendance.,13
"Need a study certificate, whom should I contact?",certificates,template,"certificates::Need a {cert}, whom should I contact?",8
What is the last date to fill the form for the re-exam?,examinations,template,examinations::What is the last date to fill the form for the {exam}?,12
Roll number J055 here. The receipt for my re-registration fee shows the wrfng amount. pls help.,fees,augmented,fees::The receipt for my {fee} shows the wrong amount.,16
I study CSE. The receipt for my semester fee shows the wrong amount. Thank you.,fees,template,fees::The receipt for my {fee} shows the wrong amount.,15
Can the university send my provisional transcript directly to my master's application?,transcripts,template,transcripts::Can the university send my {doc} directly to {dest}?,12
I want to change to a double occupancy room.,hostel,template,hostel::I want to change to a {room}.,9
Roll number J054 here. I lost my bonafide certificate. Can I get a duplicate?,certificates,template,certificates::I lost my {cert}. Can I get a duplicate?,14
"As a final year student, how do I renew my need-based scholarship for next year? I am in semester 1.",scholarships,template,scholarships::How do I renew my {sch} for next year?,20
pls guide me on requesting a degree transcript for IELTS,transcripts,augmented,transcripts::Please guide me on requesting a {doc} for {dest}.,10
"Hi, I am from chemical. Is payment of the tuition fee by net banking accepted at the accounts office?",fees,template,fees::Is payment of the {fee} by {mode} accepted at the accounts office?,19
"Hi, I am from CSE. How do I apply for a double occupancy room? It is urgent.",hostel,template,hostel::How do I apply for a {room}?,17
what is the most popular airline,out_of_scope,clinc150,clinc::what is the most popular airline,6
Roll number J059 here. What is the amount of the need-based scholarship?,scholarships,template,scholarships::What is the amount of the {sch}?,12
I study CSE. What is the late registration fee for the spring semester? Thank you.,academic_registration,template,academic_registration::What is the late registration fee for {term}?,15
are there any local stations covering the moral march in raleigh in februaryu,out_of_scope,clinc150,clinc::are there any local stations covering the moral march in raleigh in februaryu,13
When will the timetable for the makeup exam be released? It is urgent.,examinations,template,examinations::When will the timetable for the {exam} be released?,13
What is the last date to apply for a bonafide certificate? Thanks.,certificates,template,certificates::What is the last date to apply for a {cert}?,12
wat does it mean to be an alpha male,out_of_scope,augmented,clinc::what does it mean to be an alpha male,9
I need attested copies of my degree certificate.,certificates,seed,seed::18::certificates,8
What is the fee for the end sem exam?,examinations,augmented,examinations::What is the fee for the {exam}?,9
I study electrical. Who should I contact about my RFID access card?,id_cards,template,id_cards::Who should I contact about my {card}?,12
wat are the prerequisites for the minor program? any help is appreciated.,academic_registration,augmented,academic_registration::What are the prerequisites for the {course}?,12
"Madam, I need a fee structure document for my education loan.",fees,template,fees::I need a fee structure document for my education loan.,11
