text,intent,source,clean_text
how do i aply for attendance condonation?,attendance,augmented,how do i aply for attendance condonation
how do i appply for attendance condonation,attendance,augmented,how do i appply for attendance condonation
"The elective I wanted is full, can I get added to the waitlist?",academic_registration,original,the elective i wanted is full can i get added to the waitlist
"The elective I wanted is full, can I get added to the waitlist asap",academic_registration,augmented,the elective i wanted is full can i get added to the waitlist asap
"the electiev i wanted is flul, can i get added to the waitlist thank you",academic_registration,augmented,the electiev i wanted is flul can i get added to the waitlist thank you
"The elective I wanted is full, can I get added to the waitlist please",academic_registration,augmented,the elective i wanted is full can i get added to the waitlist please
"the elective i wanted is full, can i get added to the waitlist",academic_registration,augmented,the elective i wanted is full can i get added to the waitlist
I need a fee structure document for my education loan.,fees,original,i need a fee structure document for my education loan
"sir, i need a fee structure document for my education lona",fees,augmented,sir i need a fee structure document for my education lona
i need a fee structure document for my education loan kindly guide me,fees,augmented,i need a fee structure document for my education loan kindly guide me
quick question: i need a fee structure document for my education looan please,fees,augmented,quick question i need a fee structure document for my education looan please
I need a fee structure document for my education loa.n,fees,augmented,i need a fee structure document for my education loa n
Can the university send my transcript directly to WES?,transcripts,original,can the university send my transcript directly to wes
"hello, can the university send my transcript directly to wes thanks",transcripts,augmented,hello can the university send my transcript directly to wes thanks
can the university send my transcript direectly to wes,transcripts,augmented,can the university send my transcript direectly to wes
Can the university snd my transcript directly to WES?,transcripts,augmented,can the university snd my transcript directly to wes
"hey, can the university send my transcript drectly to wes any help is appreciatd",transcripts,augmented,hey can the university send my transcript drectly to wes any help is appreciatd
My professor did not update my attendance for the last month.,attendance,original,my professor did not update my attendance for the last month
quick question: my professor did not update my attendance for the last month.,attendance,augmented,quick question my professor did not update my attendance for the last month
my professor did not update my attendance for the last month.,attendance,augmented,my professor did not update my attendance for the last month
urgent: my professor did not update my attendance for the last month.,attendance,augmented,urgent my professor did not update my attendance for the last month
My professor did not update my attendance for the last month plese,attendance,augmented,my professor did not update my attendance for the last month plese
What is the maximum number of credits I can register for?,academic_registration,original,what is the maximum number of credits i can register for
"madam, what is the maximum number of creidts I can register for",academic_registration,augmented,madam what is the maximum number of creidts i can register for
wat is the maximum number of credits i can register for?,academic_registration,augmented,wat is the maximum number of credits i can register for
"sir, what is the maximum numbber of credits I can register for",academic_registration,augmented,sir what is the maximum numbber of credits i can register for
"madam, what is the maximum number of credits i can register for?",academic_registration,augmented,madam what is the maximum number of credits i can register for
what is the maximum number of credits i can register for any help is appreciated,academic_registration,augmented,what is the maximum number of credits i can register for any help is appreciated
What happens if my attendance falls below 75 percent?,attendance,original,what happens if my attendance falls below 75 percent
What happens if my attendance falls below 75 percent,attendance,augmented,what happens if my attendance falls below 75 percent
"excuse me, what happens if my atendance falls below 75 percent",attendance,augmented,excuse me what happens if my atendance falls below 75 percent
what happens if my attendance falls below 75 percent,attendance,augmented,what happens if my attendance falls below 75 percent
quick question: what happens if my attendance falls below 75 percent thanks,attendance,augmented,quick question what happens if my attendance falls below 75 percent thanks
"madam, what happens if my attendance falls below 75 percent asap",attendance,augmented,madam what happens if my attendance falls below 75 percent asap
When will the end semester exam timetable be released?,examinations,original,when will the end semester exam timetable be released
Whne will the end semester exam timetable be released?,examinations,augmented,whne will the end semester exam timetable be released
when will the end semester exam timetable be released thakns,examinations,augmented,when will the end semester exam timetable be released thakns
"hello, when will the end semesteer exam timetable be released",examinations,augmented,hello when will the end semesteer exam timetable be released
quick question: when will the end semester exam timetable be released please,examinations,augmented,quick question when will the end semester exam timetable be released please
when will the end semester exam timetable be released?,examinations,augmented,when will the end semester exam timetable be released
When will the hostel room allotment list be released?,hostel,original,when will the hostel room allotment list be released
When will the hostel room allotment lisst be released?,hostel,augmented,when will the hostel room allotment lisst be released
when will the hostel room allotment list be released?,hostel,augmented,when will the hostel room allotment list be released
when will the hostel room allotmeent list be released,hostel,augmented,when will the hostel room allotmeent list be released
please help: when wll the hostel room allotment list be released,hostel,augmented,please help when wll the hostel room allotment list be released
When will the hostel room allotment list be released,hostel,augmented,when will the hostel room allotment list be released
How do I enroll in a minor program?,academic_registration,original,how do i enroll in a minor program
how do i enroll in a minor program asap,academic_registration,augmented,how do i enroll in a minor program asap
how do i enroll in a minor program kindly guide me,academic_registration,augmented,how do i enroll in a minor program kindly guide me
"madam, how do i enroll in a minnor program kindly guide me",academic_registration,augmented,madam how do i enroll in a minnor program kindly guide me
How do I enroll in a minor program any help is appreciated,academic_registration,augmented,how do i enroll in a minor program any help is appreciated
I need a bonafide certificate for my bank loan.,certificates,original,i need a bonafide certificate for my bank loan
"helo, i need a bonafide certificate for my bank loan asap",certificates,augmented,helo i need a bonafide certificate for my bank loan asap
quick question: i need a bonafide certificate for my bank loan,certificates,augmented,quick question i need a bonafide certificate for my bank loan
I nede a bonafide certificate for my bank loan thank you,certificates,augmented,i nede a bonafide certificate for my bank loan thank you
"hey, i need a bonafide certificate for my bank loan any help is appreciated",certificates,augmented,hey i need a bonafide certificate for my bank loan any help is appreciated
i need a bonafide certificate for my bank loaan,certificates,augmented,i need a bonafide certificate for my bank loaan
Do I need to file an FIR for a lost ID card?,id_cards,original,do i need to file an fir for a lost id card
pleaase help: do i need to file an fir for a lost id card?,id_cards,augmented,pleaase help do i need to file an fir for a lost id card
do i need to file an fir for a lost id card,id_cards,augmented,do i need to file an fir for a lost id card
urgent: do i need to file an fir for a lost id card asap,id_cards,augmented,urgent do i need to file an fir for a lost id card asap
quick question: do I nede to file an FIR for a lost ID card,id_cards,augmented,quick question do i nede to file an fir for a lost id card
quicck question: do I need to file an FIR for a lost ID card,id_cards,augmented,quicck question do i need to file an fir for a lost id card
Can I take a course from another department as an open elective?,academic_registration,original,can i take a course from another department as an open elective
"hey, can I take a course from another department as an open elective",academic_registration,augmented,hey can i take a course from another department as an open elective
can i take a course form another department as an open electiev?,academic_registration,augmented,can i take a course form another department as an open electiev
"madam, can i take a course from another department as an open elective thank you",academic_registration,augmented,madam can i take a course from another department as an open elective thank you
"sir, can i take a course from another department as an open elective kindly guide me",academic_registration,augmented,sir can i take a course from another department as an open elective kindly guide me
can i take a course frrom another department as an open elective,academic_registration,augmented,can i take a course frrom another department as an open elective
I lost my ID card. What should I do?,id_cards,original,i lost my id card what should i do
i lost my id card. what should i do thanks,id_cards,augmented,i lost my id card what should i do thanks
quick question: i lost my id card. what should i do,id_cards,augmented,quick question i lost my id card what should i do
"excuse me, i lost my ID card. What shoulld I do?",id_cards,augmented,excuse me i lost my id card what shoulld i do
"madam, i lost my id card. what should i do",id_cards,augmented,madam i lost my id card what should i do
please help: i lost my ID card. What should I do any help is appreciated,id_cards,augmented,please help i lost my id card what should i do any help is appreciated
I could not register on time because of a portal error.,academic_registration,original,i could not register on time because of a portal error
"hi, i could not register on time because of a portal error.",academic_registration,augmented,hi i could not register on time because of a portal error
I could not register on time because of a portal error please,academic_registration,augmented,i could not register on time because of a portal error please
"hello, i could not register on time because of a portal error thanks",academic_registration,augmented,hello i could not register on time because of a portal error thanks
"hello, i could not regisster on time because of a portal error.",academic_registration,augmented,hello i could not regisster on time because of a portal error
"hey, i coud not register on time because of a portal error kindly guide me",academic_registration,augmented,hey i coud not register on time because of a portal error kindly guide me
What documents are required for a need-based financial aid application?,scholarships,original,what documents are required for a need based financial aid application
please help: what documents are required for a need-based financial aid application,scholarships,augmented,please help what documents are required for a need based financial aid application
Whaat documents are required for a need-based financial aid application?,scholarships,augmented,whaat documents are required for a need based financial aid application
"hi, what documents are required for a need-based financial aid application?",scholarships,augmented,hi what documents are required for a need based financial aid application
quick queestion: what documents are required for a need-based financial aid application?,scholarships,augmented,quick queestion what documents are required for a need based financial aid application
what documents are required for a need-based financial aid application?,scholarships,augmented,what documents are required for a need based financial aid application
What is the passing criteria for the semester exams?,examinations,original,what is the passing criteria for the semester exams
what is the passing criteria for the semestre exams please,examinations,augmented,what is the passing criteria for the semestre exams please
urgent: what is the passing criteria for the semeter exams kindly guide me,examinations,augmented,urgent what is the passing criteria for the semeter exams kindly guide me
quick question: what is the passing criteria for the semester exams?,examinations,augmented,quick question what is the passing criteria for the semester exams
"hi, what is the passing criteria for the semester exams?",examinations,augmented,hi what is the passing criteria for the semester exams
How long will it take to receive my transcript after applying?,transcripts,original,how long will it take to receive my transcript after applying
how long will it take to receive my transcript after applying,transcripts,augmented,how long will it take to receive my transcript after applying
How long willl it take to receive my transcript after applying?,transcripts,augmented,how long willl it take to receive my transcript after applying
How long will it take to receive my transcript after applying thanks,transcripts,augmented,how long will it take to receive my transcript after applying thanks
quick question: how long will it take to receive my transcript after applying,transcripts,augmented,quick question how long will it take to receive my transcript after applying
please hellp: how long will it take to receeive my transcript after appliyng,transcripts,augmented,please hellp how long will it take to receeive my transcript after appliyng
How is attendance calculated for the semester?,attendance,original,how is attendance calculated for the semester
"hey, how is attendance calculated for the semester asap",attendance,augmented,hey how is attendance calculated for the semester asap
"excuse me, how is attendance calculated for the semester?",attendance,augmented,excuse me how is attendance calculated for the semester
How is attendance calcluated for the semester any hlp is appreciated,attendance,augmented,how is attendance calcluated for the semester any hlp is appreciated
"sir, how is attendance calculated for the semester any help is appreciated",attendance,augmented,sir how is attendance calculated for the semester any help is appreciated
how is attendance calculated for the semester,attendance,augmented,how is attendance calculated for the semester
What time is it in London?,out_of_scope,original,what time is it in london
what time is it in london thanks,out_of_scope,augmented,what time is it in london thanks
"hello, what time is it in London",out_of_scope,augmented,hello what time is it in london
what time is it in lonndon?,out_of_scope,augmented,what time is it in lonndon
"excuse me, what time is it in london?",out_of_scope,augmented,excuse me what time is it in london
quick question: what tiime is it in london,out_of_scope,augmented,quick question what tiime is it in london
Who is the prime minister of India?,out_of_scope,original,who is the prime minister of india
"hey, who is the prime minister of india?",out_of_scope,augmented,hey who is the prime minister of india
please help: who is the prrime mnister of india,out_of_scope,augmented,please help who is the prrime mnister of india
quick question: who is the prime minister of India kindly guide me,out_of_scope,augmented,quick question who is the prime minister of india kindly guide me
Who is the prime minister of Inia please,out_of_scope,augmented,who is the prime minister of inia please
who is the prime minister of inndia,out_of_scope,augmented,who is the prime minister of inndia
Can I apply for a certificate online or do I have to visit the office?,certificates,original,can i apply for a certificate online or do i have to visit the office
"madam, can I appply for a cerrtificate online or do I have to visit the office",certificates,augmented,madam can i appply for a cerrtificate online or do i have to visit the office
please help: can I apply for a certificate onlnie or do I have to visit the office?,certificates,augmented,please help can i apply for a certificate onlnie or do i have to visit the office
"excuse me, can i apply for a certificate online or do i have to viit the office asap",certificates,augmented,excuse me can i apply for a certificate online or do i have to viit the office asap
can i apply for a certificate online or do i have to visit the office,certificates,augmented,can i apply for a certificate online or do i have to visit the office
"hello, can I apply for a certificate online or do I have to visit the office thank you",certificates,augmented,hello can i apply for a certificate online or do i have to visit the office thank you
I need a sealed transcript envelope for my master's application.,transcripts,original,i need a sealed transcript envelope for my master's application
"excuse me, i need a sealed transcript envelope for my master's application.",transcripts,augmented,excuse me i need a sealed transcript envelope for my master's application
urgent: i need a sealed transcript envelope for my master's application any help is appreciatted,transcripts,augmented,urgent i need a sealed transcript envelope for my master's application any help is appreciatted
I need a sealed transcript envelope for my master's application,transcripts,augmented,i need a sealed transcript envelope for my master's application
i need a sealed transrcipt envelope for my master's application.,transcripts,augmented,i need a sealed transrcipt envelope for my master's application
i ned a sealed transcript envelope for my master's application,transcripts,augmented,i ned a sealed transcript envelope for my master's application
Book me a flight to Delhi.,out_of_scope,original,book me a flight to delhi
quikc quesstion: book me a flight to delhi thank you,out_of_scope,augmented,quikc quesstion book me a flight to delhi thank you
book me a flight to delhi any help is appreciated,out_of_scope,augmented,book me a flight to delhi any help is appreciated
book me a flight to delhi thank you,out_of_scope,augmented,book me a flight to delhi thank you
please help: book me a flight to Delhi.,out_of_scope,augmented,please help book me a flight to delhi
please help: book me a flight to delhi.,out_of_scope,augmented,please help book me a flight to delhi
My fee receipt shows the wrong amount.,fees,original,my fee receipt shows the wrong amount
my fee receipt shows the wrong amount.,fees,augmented,my fee receipt shows the wrong amount
please help: my fee receipt shows the wrong amount please,fees,augmented,please help my fee receipt shows the wrong amount please
My fee receipt shows the wrong amount,fees,augmented,my fee receipt shows the wrong amount
My fee receipt shows the wrong amount thank you,fees,augmented,my fee receipt shows the wrong amount thank you
please help: my fee receipt shows the wrong amount.,fees,augmented,please help my fee receipt shows the wrong amount
What is the hostel curfew timing?,hostel,original,what is the hostel curfew timing
what is the hosttel curfew timing?,hostel,augmented,what is the hosttel curfew timing
urgent: what is the hostel curfew timing?,hostel,augmented,urgent what is the hostel curfew timing
what is the hostel curfew timing,hostel,augmented,what is the hostel curfew timing
what is the hostle curfew timing asap,hostel,augmented,what is the hostle curfew timing asap
How much does a transcript cost?,transcripts,original,how much does a transcript cost
please help: how much does a transcript cost?,transcripts,augmented,please help how much does a transcript cost
how much does a transscript cost?,transcripts,augmented,how much does a transscript cost
How much dose a transcript cost,transcripts,augmented,how much dose a transcript cost
how much does a trascript cost?,transcripts,augmented,how much does a trascript cost
how much does a transcript cost,transcripts,augmented,how much does a transcript cost
Where can I get a new identity card made?,id_cards,original,where can i get a new identity card made
where can i get a new identity card made any help is appreciated,id_cards,augmented,where can i get a new identity card made any help is appreciated
Where can I get a new identity card made,id_cards,augmented,where can i get a new identity card made
Where can I get a new identtity card made,id_cards,augmented,where can i get a new identtity card made
urgent: where can I get a new identity card made,id_cards,augmented,urgent where can i get a new identity card made
"excuse me, where can I get a new identity cad made please",id_cards,augmented,excuse me where can i get a new identity cad made please
Can duty leave be counted as present?,attendance,original,can duty leave be counted as present
"sir, can duty leave be counted as present?",attendance,augmented,sir can duty leave be counted as present
please help: can duty leave be counted as preent thank you,attendance,augmented,please help can duty leave be counted as preent thank you
can duty leave be counted as present?,attendance,augmented,can duty leave be counted as present
"excuse me, can duty leave be counted as prsent",attendance,augmented,excuse me can duty leave be counted as prsent
can duty leave be counted as present,attendance,augmented,can duty leave be counted as present
What is the late registration fee?,academic_registration,original,what is the late registration fee
"madam, whta is the late registration fee",academic_registration,augmented,madam whta is the late registration fee
What is the late registration fee,academic_registration,augmented,what is the late registration fee
What is the late regsitration fee?,academic_registration,augmented,what is the late regsitration fee
"madam, what is the late registration fee thank you",academic_registration,augmented,madam what is the late registration fee thank you
quick question: what is the late registration fee please,academic_registration,augmented,quick question what is the late registration fee please
What documents are needed for hostel admission?,hostel,original,what documents are needed for hostel admission
"si, what documents are needed for hostel admissino thanks",hostel,augmented,si what documents are needed for hostel admissino thanks
"hi, what documents are needed for hostel admission",hostel,augmented,hi what documents are needed for hostel admission
please help: what documents are needed for hostel admission kindly guide me,hostel,augmented,please help what documents are needed for hostel admission kindly guide me
"madam, what documents are needed for hostel admisison",hostel,augmented,madam what documents are needed for hostel admisison
When does the course registration window open?,academic_registration,original,when does the course registration window open
"excuse me, when does the couurse registration window open?",academic_registration,augmented,excuse me when does the couurse registration window open
"madam, when doees the course registration window open",academic_registration,augmented,madam when doees the course registration window open
"hello, when deos the course registration window oppen kindly guide me",academic_registration,augmented,hello when deos the course registration window oppen kindly guide me
"hey, when does the course registration window open?",academic_registration,augmented,hey when does the course registration window open
when does the course registration window open?,academic_registration,augmented,when does the course registration window open
Where can I download my fee receipt?,fees,original,where can i download my fee receipt
where can i download my fee receipt,fees,augmented,where can i download my fee receipt
"hello, where can i download my fee receipt thank you",fees,augmented,hello where can i download my fee receipt thank you
"hey, where can I download my fee receipt?",fees,augmented,hey where can i download my fee receipt
quick question: where can I download my fee receipt please,fees,augmented,quick question where can i download my fee receipt please
"hi, where can I download my fee receipt?",fees,augmented,hi where can i download my fee receipt
I want to apply for a research fellowship at the university.,scholarships,original,i want to apply for a research fellowship at the university
i want to apply for a research fellowship at the univversity please,scholarships,augmented,i want to apply for a research fellowship at the univversity please
"hey, i want to apply for a reserch fellowship at the university",scholarships,augmented,hey i want to apply for a reserch fellowship at the university
I want to appply for a research fellowship at the unniversity.,scholarships,augmented,i want to appply for a research fellowship at the unniversity
I want to apply for a research felllowship at the university,scholarships,augmented,i want to apply for a research felllowship at the university
i want to apply for a research fellowship at the university,scholarships,augmented,i want to apply for a research fellowship at the university
How do I get a hostel leave permission for the weekend?,hostel,original,how do i get a hostel leave permission for the weekend
how do i get a hostel leave permission for the weekend,hostel,augmented,how do i get a hostel leave permission for the weekend
"hey, how do I get a hostel leave permission for the weekend thank you",hostel,augmented,hey how do i get a hostel leave permission for the weekend thank you
"hey, how do I get a hostel laeve permission for the weekend",hostel,augmented,hey how do i get a hostel laeve permission for the weekend
"excuse me, how do I get a hostel leave permision for the weekend",hostel,augmented,excuse me how do i get a hostel leave permision for the weekend
"sir, how do i get a hostel leave permission for the weeken?d",hostel,augmented,sir how do i get a hostel leave permission for the weeken d
Are first year students allowed to stay in the hostel?,hostel,original,are first year students allowed to stay in the hostel
"hi, are first year students allowed to stay in the hostel kindly guide me",hostel,augmented,hi are first year students allowed to stay in the hostel kindly guide me
"sir, are first year students allowed to stay in the hostel pleasse",hostel,augmented,sir are first year students allowed to stay in the hostel pleasse
quick question: are firsst year students allowed to stay in the hostel,hostel,augmented,quick question are firsst year students allowed to stay in the hostel
are first year students allowed to stay in the hostel?,hostel,augmented,are first year students allowed to stay in the hostel
"madam, are first year students allowed to stay in the hostel kindly giude me",hostel,augmented,madam are first year students allowed to stay in the hostel kindly giude me
What are the hostel fees for a single occupancy room?,hostel,original,what are the hostel fees for a single occupancy room
What are the hostel fees for a singe occupancy room,hostel,augmented,what are the hostel fees for a singe occupancy room
"hi, what are the hostel fees for a single occupancy room",hostel,augmented,hi what are the hostel fees for a single occupancy room
"madam, what are the hostel fees for a single ocupancy room",hostel,augmented,madam what are the hostel fees for a single ocupancy room
"I need an NOC for an internship, whom do I contact?",certificates,original,i need an noc for an internship whom do i contact
"i need an noc for an internship, whom do i contact any help is appreciated",certificates,augmented,i need an noc for an internship whom do i contact any help is appreciated
"hey, i need an NOC for an internship, whom do I contact pease",certificates,augmented,hey i need an noc for an internship whom do i contact pease
"i need an noc for an internship, whom do i contact please",certificates,augmented,i need an noc for an internship whom do i contact please
"sir, i need an NOC for an internship, whom do I contact",certificates,augmented,sir i need an noc for an internship whom do i contact
"i need an noc for an internship, whom do i contact asap",certificates,augmented,i need an noc for an internship whom do i contact asap
What is the last date to submit the attendance condonation form?,attendance,original,what is the last date to submit the attendance condonation form
"helllo, what is the last date to submit the attendance condonation form thank you",attendance,augmented,helllo what is the last date to submit the attendance condonation form thank you
what is the last date to submit the attendance condonation forrm?,attendance,augmented,what is the last date to submit the attendance condonation forrm
"hello, wht is the last date to submit the attendance condonation form?",attendance,augmented,hello wht is the last date to submit the attendance condonation form
What is the last date to submit the attendaance condonation form?,attendance,augmented,what is the last date to submit the attendaance condonation form
please help: what is the last date to submit the attendance condonation formm?,attendance,augmented,please help what is the last date to submit the attendance condonation formm
Is there any relaxation in attendance for sports representatives?,attendance,original,is there any relaxation in attendance for sports representatives
urrgent: is there any relaxation in attendance for sports representatives asap,attendance,augmented,urrgent is there any relaxation in attendance for sports representatives asap
Is there any relaxation in attendance for sports representatives kindly guide me,attendance,augmented,is there any relaxation in attendance for sports representatives kindly guide me
Is there any relaxation in attendance for sports representatives,attendance,augmented,is there any relaxation in attendance for sports representatives
"madam, is there any relaxation in attendance for soprts representatives",attendance,augmented,madam is there any relaxation in attendance for soprts representatives
please help: is there any relaxation in attendance for sports representatives?,attendance,augmented,please help is there any relaxation in attendance for sports representatives
I want to switch from a shared room to a single room.,hostel,original,i want to switch from a shared room to a single room
urgent: i want to switch from a shared room to a single room.,hostel,augmented,urgent i want to switch from a shared room to a single room
i want to switch from a shared room to a single room,hostel,augmented,i want to switch from a shared room to a single room
I wannt to swittch frm a shared rooom to a sigle room kindly guide me,hostel,augmented,i wannt to swittch frm a shared rooom to a sigle room kindly guide me
urgent: i want to switch from a shared room to a single room,hostel,augmented,urgent i want to switch from a shared room to a single room
i want to switch fom a shared room to a snigle room kindly guide me,hostel,augmented,i want to switch fom a shared room to a snigle room kindly guide me
How can I get my official transcript?,transcripts,original,how can i get my official transcript
how can i get my official transcript,transcripts,augmented,how can i get my official transcript
how can i get my official traanscript?,transcripts,augmented,how can i get my official traanscript
"hi, how can i get my official transcript?",transcripts,augmented,hi how can i get my official transcript
urgent: how can I get my official transcript any help is appreciated,transcripts,augmented,urgent how can i get my official transcript any help is appreciated
"hey, how can i get my official transcript",transcripts,augmented,hey how can i get my official transcript
Can I get attendance for the days I participated in a college fest?,attendance,original,can i get attendance for the days i participated in a college fest
Can I get attendance for the days I participated in a college fest thanks,attendance,augmented,can i get attendance for the days i participated in a college fest thanks
"hello, can I get attendance for the days I partciipated in a college fest",attendance,augmented,hello can i get attendance for the days i partciipated in a college fest
quick question: can i get attendance for the days i participated in a college fest thank you,attendance,augmented,quick question can i get attendance for the days i participated in a college fest thank you
urgent: can i get attendance for the days i participated in a college fest?,attendance,augmented,urgent can i get attendance for the days i participated in a college fest
please help: can I get attendanec for the daays I participated in a colelge fest?,attendance,augmented,please help can i get attendanec for the daays i participated in a colelge fest
I have not received my ID card yet even after two months of admission.,id_cards,original,i have not received my id card yet even after two months of admission
I have not received my ID card yet even after two months of admission kidly guide me,id_cards,augmented,i have not received my id card yet even after two months of admission kidly guide me
"madam, i have not received my ID card yet even after two months of admission",id_cards,augmented,madam i have not received my id card yet even after two months of admission
please help: i have not received my ID card yet even after two months of admission.,id_cards,augmented,please help i have not received my id card yet even after two months of admission
"madam, i have not receivved my ID card yet even after two months of admission.",id_cards,augmented,madam i have not receivved my id card yet even after two months of admission
I have not receied my ID card yet even after two months of admission any help is appreciated,id_cards,augmented,i have not receied my id card yet even after two months of admission any help is appreciated
Can I get a provisional degree certificate before convocation?,certificates,original,can i get a provisional degree certificate before convocation
"hi, can i get a provisional degree certificate before convocation",certificates,augmented,hi can i get a provisional degree certificate before convocation
"hey, can I get a provisional degree certificate before convocation?",certificates,augmented,hey can i get a provisional degree certificate before convocation
Can I get a provisional degree certificate before convocation,certificates,augmented,can i get a provisional degree certificate before convocation
please help: can i get a provisional degree certificate before convocation?,certificates,augmented,please help can i get a provisional degree certificate before convocation
quick question: can I get a provisional degree certificate beffore conovcation?,certificates,augmented,quick question can i get a provisional degree certificate beffore conovcation
How do I pay my semester fee online?,fees,original,how do i pay my semester fee online
"hey, how do I pay my semester fee online",fees,augmented,hey how do i pay my semester fee online
How do I pay my semester fee online,fees,augmented,how do i pay my semester fee online
"sir, how do I pay my semester fee online any help is appreciated",fees,augmented,sir how do i pay my semester fee online any help is appreciated
"excuse me, how do i pay my semester fee online?",fees,augmented,excuse me how do i pay my semester fee online
"There is a roommate issue in my hostel, whom do I report to?",hostel,original,there is a roommate issue in my hostel whom do i report to
"hello, there is a roommate isue in my hostel, whom do i report to please",hostel,augmented,hello there is a roommate isue in my hostel whom do i report to please
"hey, there is a roommate issue in my hostel, wom do I report to",hostel,augmented,hey there is a roommate issue in my hostel wom do i report to
"madam, there is a roommate issue in my hostel, whom do I report to asap",hostel,augmented,madam there is a roommate issue in my hostel whom do i report to asap
"hi, there is a roommate issue in my hoostel, whom do i report to asap",hostel,augmented,hi there is a roommate issue in my hoostel whom do i report to asap
"there is a roommate issue in my hostel, whom do i report to",hostel,augmented,there is a roommate issue in my hostel whom do i report to
Write a poem about the ocean.,out_of_scope,original,write a poem about the ocean
write a poem about the ocean.,out_of_scope,augmented,write a poem about the ocean
"madam, write a poem about the ocean thank you",out_of_scope,augmented,madam write a poem about the ocean thank you
write a poem about the ocean thankks,out_of_scope,augmented,write a poem about the ocean thankks
Write a poem about the ocean,out_of_scope,augmented,write a poem about the ocean
urgnt: write a poem about the ocean.,out_of_scope,augmented,urgnt write a poem about the ocean
What is the best programming language to learn?,out_of_scope,original,what is the best programming language to learn
what is the best programming language to learn,out_of_scope,augmented,what is the best programming language to learn
please help: what is the best programming language to learn please,out_of_scope,augmented,please help what is the best programming language to learn please
What is the best programming language to learn kindly guide me,out_of_scope,augmented,what is the best programming language to learn kindly guide me
urgent: what is the best progamming language to learn please,out_of_scope,augmented,urgent what is the best progamming language to learn please
How can I drop a course after registration?,academic_registration,original,how can i drop a course after registration
pleaes help: how can i drop a course after registration asap,academic_registration,augmented,pleaes help how can i drop a course after registration asap
how can i drop a course afteer registration,academic_registration,augmented,how can i drop a course afteer registration
"hi, how can I drop a course after reegistration",academic_registration,augmented,hi how can i drop a course after reegistration
how can i drop a course aftter registration please,academic_registration,augmented,how can i drop a course aftter registration please
urgent: how can i drop a course after registration,academic_registration,augmented,urgent how can i drop a course after registration
"There is a clash between two of my exam papers, what should I do?",examinations,original,there is a clash between two of my exam papers what should i do
